Source,Chinese Char,Frequency,English Translation,Pinyin
的 3957141,的 ,3957141,of ,de  
我 3669472,我 ,3669472,I ,wǒ  
你 3282942,你 ,3282942,you ,nǐ  
了 2141739,了 ,2141739,NS ,le  
是 1670639,是 ,1670639,Yes ,shì  
在 1023023,在 ,1023023,exist ,zài  
他 904210,他 ,904210,he ,tā  
我们 827393,我们 ,827393,US ,wǒmen  
不 725410,不 ,725410,Do not ,bù  
吗 652753,吗 ,652753, ,mǎ  
好 558010,好 ,558010,good ,hào  
什么 534934,什么 ,534934,what ,shénme  
有 511680,有 ,511680,Have ,yǒu  
就 504482,就 ,504482,At once ,jiù  
吧 502836,吧 ,502836,Bar ,ba  
她 488294,她 ,488294,she ,tā  
这 440271,这 ,440271,this ,zhè  
知道 437631,知道 ,437631,knowledge ,zhīdào  
说 413852,说 ,413852,Say ,shuō  
都 413654,都 ,413654,All ,dōu  
去 370927,去 ,370927,go ,qù  
很 365403,很 ,365403,very ,hěn  
啊 358257,啊 ,358257,what ,a  
要 352653,要 ,352653,want ,yào  
也 336670,也 ,336670,and also ,yě  
他们 330294,他们 ,330294,them ,tāmen  
和 323973,和 ,323973,with ,hé  
那 323364,那 ,323364,That ,nà  
想 317123,想 ,317123,think ,xiǎng  
人 315856,人 ,315856,people ,rén  
会 312399,会 ,312399,Can ,huì  
一个 286202,一个 ,286202,one ,yīgè  
来 279006,来 ,279006,Come ,lái  
把 259336,把 ,259336,Bundle ,bǎ  
对 257560,对 ,257560,right ,duì  
没有 257229,没有 ,257229,No ,méiyǒu  
做 256927,做 ,256927,Do ,zuò  
不是 253201,不是 ,253201,no ,bùshì  
让 235971,让 ,235971,let ,ràng  
给 232587,给 ,232587,Give ,gěi  
you 222568,you ,222568,you ,you  
可以 213363,可以 ,213363,Can ,kěyǐ  
i 209342,i ,209342,i ,i  
你们 207368,你们 ,207368,you ,nǐmen  
呢 203137,呢 ,203137,Woolen cloth ,ní  
但 200270,但 ,200270,but ,dàn  
l 195889,l ,195889,the,l  
到 195057,到 ,195057,arrive ,dào  
还 192818,还 ,192818,return ,hái  
现在 191204,现在 ,191204,now ,xiànzài  
the 185415,the ,185415,the ,the  
这个 184608,这个 ,184608,this ,zhège  
能 183817,能 ,183817,can ,néng  
怎么 174335,怎么 ,174335,how ,zěnme  
就是 174001,就是 ,174001,that is ,jiùshì  
跟 172998,跟 ,172998,and ,gēn  
如果 171340,如果 ,171340,if ,rúguǒ  
没 171205,没 ,171205,No ,méi  
它 170019,它 ,170019,it ,tā  
走 169161,走 ,169161,go ,zǒu  
上 163659,上 ,163659,superior ,shàng  
得 157393,得 ,157393,have to ,de  
被 156912,被 ,156912,quilt ,bèi  
这里 155860,这里 ,155860,here ,zhèlǐ  
这样 154329,这样 ,154329,so ,zhèyàng  
个 148111,个 ,148111,indivual ,ge  
看 142855,看 ,142855,Look ,kàn  
事 136748,事 ,136748,case ,shì  
to 136030,to ,136030,to ,to  
自己 134251,自己 ,134251,Own ,zìjǐ  
着 133440,着 ,133440,NS ,zhe  
谁 127180,谁 ,127180,Who ,shuí  
过 126905,过 ,126905,pass ,guò  
不会 126661,不会 ,126661,will not ,bùhuì  
a 123511,a ,123511,a ,a  
告诉 121954,告诉 ,121954,Tell ,gàosu  
s 120272,s ,120272,s ,s  
为什么 119165,为什么 ,119165,why ,wèishénme  
不能 118579,不能 ,118579,can not ,bùnéng  
真的 117819,真的 ,117819,real ,zhēnde  
m 117308,m ,117308,m ,m  
先生 115604,先生 ,115604,gentlemen ,xiānsheng  
只是 115329,只是 ,115329,only ,zhǐshì  
不要 114532,不要 ,114532,do not want ,bùyào  
这是 113425,这是 ,113425,This is ,zhèshì  
已经 111924,已经 ,111924,already ,yǐjīng  
再 108389,再 ,108389,Again ,zài  
哦 107476,哦 ,107476,Oh ,o  
需要 104694,需要 ,104694,need ,xūyào  
it 104540,it ,104540,it ,it  
因为 103803,因为 ,103803,Because ,yīnwèi  
谢谢 103359,谢谢 ,103359,thanks ,xièxie  
像 102722,像 ,102722,picture ,xiàng  
这么 100276,这么 ,100276,So,zhème  
可能 98736,可能 ,98736,possible ,kěnéng  
但是 97940,但是 ,97940,but ,dànshì  
那个 97172,那个 ,97172,that ,nàgè  
所以 95494,所以 ,95494,so ,suǒyǐ  
喜欢 94248,喜欢 ,94248,like ,xǐhuan  
又 92798,又 ,92798,again ,yòu  
叫 92723,叫 ,92723,Call ,jiào  
快 92473,快 ,92473,quick ,kuài  
我要 91413,我要 ,91413,I need to ,wǒyào  
觉得 90238,觉得 ,90238,feel ,juéde  
别 89878,别 ,89878,do not ,bié  
听 88997,听 ,88997,hear ,tīng  
找 88902,找 ,88902,Find ,zhǎo  
里 88316,里 ,88316,inside ,lǐ  
还有 86154,还有 ,86154,and also ,háiyǒu  
时候 85885,时候 ,85885,when ,shíhou  
东西 85443,东西 ,85443,thing ,dōngxi  
等 84043,等 ,84043,Wait ,děng  
死 83694,死 ,83694,die ,sǐ  
多 83326,多 ,83326,many ,duō  
从 82805,从 ,82805,From ,cóng  
我会 82721,我会 ,82721,I will ,wǒhuì  
一起 82570,一起 ,82570,Together ,yīqǐ  
and 81874,and ,81874,and ,and  
应该 80917,应该 ,80917,should ,yīnggāi  
我們 80892,我們 ,80892,US ,wǒmen  
这些 80491,这些 ,80491,These ,zhèxiē  
that 79991,that ,79991,that ,that  
t 78421,t ,78421,t ,t  
请 78036,请 ,78036,Please ,qǐng  
孩子 77837,孩子 ,77837,child ,háizi  
看到 76397,看到 ,76397,See ,kàndào  
一下 75952,一下 ,75952,one time ,yīxià  
那么 75600,那么 ,75600,So ,nàme  
为 75445,为 ,75445,for ,wei  
嗎 75041,嗎 ,75041, ,mǎ  
而 73889,而 ,73889,and ,ér  
of 71888,of ,71888,of ,of  
您 71712,您 ,71712,you ,nín  
才 71045,才 ,71045,talent ,cái  
用 70127,用 ,70127,use ,yòng  
还是 69657,还是 ,69657,still ,háishi  
嗯 68924,嗯 ,68924,Um ,en  
问题 68808,问题 ,68808,problem ,wèntí  
工作 68195,工作 ,68195,Work ,gōngzuò  
一样 67580,一样 ,67580,Same ,yīyàng  
呀 66299,呀 ,66299,Ah ,yā  
开始 65701,开始 ,65701,Start ,kāishǐ  
吃 65392,吃 ,65392,eat ,chī  
嘿 64649,嘿 ,64649,Hey ,hēi  
当 64152,当 ,64152,when ,dāng  
真 63782,真 ,63782,real ,zhēn  
中 62747,中 ,62747,middle ,zhōng  
然后 62651,然后 ,62651,Then ,ránhòu  
看看 62631,看看 ,62631,have a look ,kànkan  
說 62539,說 ,62539,Say ,shuō  
地方 61961,地方 ,61961,place ,dìfāng  
一定 61403,一定 ,61403,must ,yīdìng  
将 61310,将 ,61310,will ,jiàng  
希望 61212,希望 ,61212,hope ,xīwàng  
朋友 61124,朋友 ,61124,friend ,péngyou  
今天 59831,今天 ,59831,Nowadays ,jīntiān  
拿 59701,拿 ,59701,take ,ná  
一 59154,一 ,59154,one ,yī  
啦 59038,啦 ,59038,La ,lā  
in 58965,in ,58965,in ,in  
事情 58749,事情 ,58749,matter ,shìqing  
一直 58600,一直 ,58600,Always ,yīzhí  
所有 58300,所有 ,58300,all ,suǒyǒu  
we 58049,we ,58049,we ,we  
找到 57999,找到 ,57999,turn up ,zhǎodào  
什麼 57953,什麼 ,57953,what ,shénme  
哪 57922,哪 ,57922,where ,nǎ  
当然 57824,当然 ,57824,certainly ,dāngrán  
们 57747,们 ,57747,NS ,men  
回来 57701,回来 ,57701,return ,huílai  
不想 57531,不想 ,57531,In no mood ,bùxiǎng  
更 56704,更 ,56704,Even ,gēng  
最 56437,最 ,56437,most ,zuì  
帮 56384,帮 ,56384,help ,bāng  
is 56183,is ,56183,is ,is  
没事 54978,没事 ,54978,fine ,méishì  
只 54737,只 ,54737,only ,zhī  
那些 54687,那些 ,54687,Those ones ,nàxiē  
可 54677,可 ,54677,Can ,kě  
明白 54299,明白 ,54299,clear ,míngbai  
的话 54266,的话 ,54266,if ,dehuà  
爸爸 54140,爸爸 ,54140,dad ,bàba  
what 54049,what ,54049,what ,what  
下 54021,下 ,54021,Down ,xià  
太 53888,太 ,53888,too ,tài  
离开 53576,离开 ,53576,Leave ,líkāi  
一切 53550,一切 ,53550,everything ,yīqiè  
时间 53544,时间 ,53544,time ,shíjiān  
相信 53265,相信 ,53265,Believe ,xiāngxìn  
chffffff 53035,chffffff ,53035,chffffff ,chffffff  
妈妈 52775,妈妈 ,52775,mother ,māma  
想要 52767,想要 ,52767,want to ,xiǎngyào  
爱 52273,爱 ,52273,Love ,ài  
发生 52014,发生 ,52014,happen ,fāshēng  
打 51894,打 ,51894,beat ,dǎ  
点 51607,点 ,51607,point ,diǎn  
來 51606,來 ,51606,Come ,lái  
钱 51381,钱 ,51381,money ,qián  
大 51218,大 ,51218,Big ,dà  
起来 51203,起来 ,51203,stand up ,qǐlai  
me 51126,me ,51126,me ,me  
真是 50761,真是 ,50761,Really,zhēnshi  
你好 50640,你好 ,50640,Hello ,nǐhǎo  
抱歉 50333,抱歉 ,50333,Feel sorry ,bàoqiàn  
必须 50284,必须 ,50284,must ,bìxū  
认为 50036,认为 ,50036,think ,rènwéi  
一点 49989,一点 ,49989,a little ,yīdiǎn  
非常 49809,非常 ,49809,Very ,fēicháng  
那里 48875,那里 ,48875,There ,nàli  
对不起 48834,对不起 ,48834,sorry ,duìbuqǐ  
天 48822,天 ,48822,sky ,tiān  
也许 48806,也许 ,48806,maybe ,yěxǔ  
大家 48356,大家 ,48356,Everyone ,dàjiā  
哪里 48077,哪里 ,48077,where ,nǎlǐ  
有人 48030,有人 ,48030,Someone,yǒurén  
该 47800,该 ,47800,Should ,gāi  
意思 47296,意思 ,47296,mean ,yìsi  
杀 45836,杀 ,45836,kill ,shā  
准备 45490,准备 ,45490,Prepare ,zhǔnbèi  
并 45252,并 ,45252,and ,bìng  
出来 45071,出来 ,45071,come out ,chūlái  
this 44886,this ,44886,this ,this  
与 43845,与 ,43845,and ,yǔ  
时 43426,时 ,43426,Time ,shí  
不过 43421,不过 ,43421,but ,bùguò  
一些 43319,一些 ,43319,Some ,yīxiē  
为了 42835,为了 ,42835,for ,wèile  
带 42790,带 ,42790,belt ,dài  
女人 42510,女人 ,42510,woman ,nǚrén  
he 42444,he ,42444,he ,he  
pos 42272,pos ,42272,post,pos  
这儿 41851,这儿 ,41851,Here,zhèr  
后 41251,后 ,41251,Rear ,hòu  
只有 41172,只有 ,41172,only ,zhǐyǒu  
过来 41005,过来 ,41005,come over ,guòlái  
比 40956,比 ,40956,Compare ,bǐ  
一次 40766,一次 ,40766,once ,yīcì  
得到 39988,得到 ,39988,get ,dédào  
и 39923,и ,39923,and,и  
很多 39668,很多 ,39668,a lot of ,hěnduō  
on 39645,on ,39645,on ,on  
任何 39594,任何 ,39594,any ,rènhé  
这种 39590,这种 ,39590,This,zhèzhǒng  
for 39580,for ,39580,for ,for  
小 39473,小 ,39473,small ,xiǎo  
怎么样 39364,怎么样 ,39364,How about it ,zěnmeyàng  
對 38384,對 ,38384,right ,duì  
感觉 38329,感觉 ,38329,feel ,gǎnjué  
年 38181,年 ,38181,year ,nián  
是不是 37975,是不是 ,37975,is not it ,shìbùshì  
以为 37929,以为 ,37929,Think ,yǐwéi  
fn 37796,fn ,37796,fn ,fn  
而且 37779,而且 ,37779,and ,érqiě  
my 37770,my ,37770,my ,my  
your 37719,your ,37719,your ,your  
前 37674,前 ,37674,forward ,qián  
生活 37632,生活 ,37632,Life ,shēnghuó  
男人 37624,男人 ,37624,man ,nánrén  
之前 37558,之前 ,37558,Before ,zhīqián  
喂 37491,喂 ,37491,Hey ,wèi  
问 37160,问 ,37160,Ask ,wèn  
发现 37040,发现 ,37040,discover ,fāxiàn  
噢 36705,噢 ,36705,Oh ,ō  
可是 36669,可是 ,36669,But ,kěshì  
快点 36485,快点 ,36485,hurry up ,kuàidiǎn  
嗨 36184,嗨 ,36184,Hi ,hāi  
妈 36011,妈 ,36011,mom ,mā  
两个 35966,两个 ,35966,two ,liǎnggè  
不用 35781,不用 ,35781,Need not ,bùyòng  
re 35622,re ,35622,re ,re  
地 35498,地 ,35498,land ,dì  
向 35398,向 ,35398,Towards ,xiàng  
名字 35374,名字 ,35374,name ,míngzì  
have 35319,have ,35319,have ,have  
没错 35015,没错 ,35015,Be right,méicuò  
was 34979,was ,34979,was ,was  
no 34644,no ,34644,no ,no  
见 34008,见 ,34008,See ,jiàn  
do 33806,do ,33806,do ,do  
世界 33790,世界 ,33790,world ,shìjiè  
沒 33365,沒 ,33365,No ,méi  
记得 33268,记得 ,33268,remember ,jìde  
住 33258,住 ,33258,live ,zhù  
新 33132,新 ,33132,new ,xīn  
be 33128,be ,33128,be ,be  
不错 33113,不错 ,33113,good ,bùcuò  
肯定 33061,肯定 ,33061,affim ,kěndìng  
最好 33033,最好 ,33033,most ,zuìhǎo  
not 32986,not ,32986,not ,not  
不行 32963,不行 ,32963,no ,bùxíng  
等等 32945,等等 ,32945,and many more ,děngděng  
嘛 32723,嘛 ,32723,Well ,ma  
出去 32723,出去 ,32723,go out ,chūqù  
么 32274,么 ,32274,NS ,me  
先 32196,先 ,32196,First ,xiān  
為 32036,為 ,32036,for ,wéi  
亲爱 31933,亲爱 ,31933,Dear,qīnài  
或 31727,或 ,31727,or ,huò  
can 31652,can ,31652,can ,can  
are 31467,are ,31467,are ,are  
don 31442,don ,31442,don ,don  
他們 31420,他們 ,31420,them ,tāmen  
担心 31339,担心 ,31339,Worry ,dānxīn  
如何 31320,如何 ,31320,how ,rúhé  
到底 31107,到底 ,31107,in the end ,dàodǐ  
有点 30851,有点 ,30851,A bit,yǒudiǎn  
最后 30725,最后 ,30725,finally ,zuìhòu  
小姐 30706,小姐 ,30706,Miss ,xiǎojie  
上帝 30372,上帝 ,30372,God,shàngdì  
认识 30285,认识 ,30285,know ,rènshi  
know 30210,know ,30210,know ,know  
會 30165,會 ,30165,Can ,huì  
正在 30153,正在 ,30153,Regular,zhèngzài  
那样 29969,那样 ,29969,Then,nàyàng  
父亲 29719,父亲 ,29719,Father ,fùqīn  
高兴 29700,高兴 ,29700,Happy ,gāoxìng  
明天 29587,明天 ,29587,tomorrow ,míngtiān  
重要 29507,重要 ,29507,important ,zhòngyào  
跑 29295,跑 ,29295,run ,pǎo  
警察 29120,警察 ,29120,police ,jǐngchá  
只要 29107,只要 ,29107,if only ,zhǐyào  
干什么 29067,干什么 ,29067,What,gànshénme  
好像 29033,好像 ,29033,like ,hǎoxiàng  
再见 28825,再见 ,28825,goodbye ,zàijiàn  
月 28795,月 ,28795,moon ,yuè  
我能 28783,我能 ,28783,I can ,wǒnéng  
继续 28740,继续 ,28740,continue ,jìxù  
出 28686,出 ,28686,out ,chū  
今晚 28650,今晚 ,28650,tonight ,jīnwǎn  
all 28615,all ,28615,all ,all  
他妈的 28590,他妈的 ,28590,damn it ,tāmāde  
with 28509,with ,28509,with ,with  
回家 28350,回家 ,28350,go home ,huíjiā  
它们 28308,它们 ,28308,They,tāmen  
多少 28247,多少 ,28247,How many ,duōshǎo  
电话 28178,电话 ,28178,telephone ,diànhuà  
听到 27995,听到 ,27995,Hear,tīngdào  
干嘛 27736,干嘛 ,27736,what ,gànmá  
just 27636,just ,27636,just ,just  
干 27619,干 ,27619,Dry ,gān  
but 27545,but ,27545,but ,but  
医生 27452,医生 ,27452,Doctor ,yīshēng  
要是 27266,要是 ,27266,If,yàoshi  
女孩 27105,女孩 ,27105,girl ,nǚhái  
so 27018,so ,27018,so ,so  
這 27018,這 ,27018,this ,zhè  
所 27006,所 ,27006,Place ,suǒ  
讓 26978,讓 ,26978,let ,ràng  
马上 26720,马上 ,26720,immediately ,mǎshàng  
过去 26646,过去 ,26646,past ,guòqu  
以前 26399,以前 ,26399,before ,yǐqián  
they 26083,they ,26083,they ,they  
儿子 26024,儿子 ,26024,son ,érzi  
哪儿 25634,哪儿 ,25634,Where,nǎr  
说话 25586,说话 ,25586,say ,shuōhuà  
买 25518,买 ,25518,purchase ,mǎi  
看起来 25511,看起来 ,25511,Look,kànqǐlai  
fnmicrosoft 25467,fnmicrosoft ,25467,fnmicrosoft ,fnmicrosoft  
一個 25462,一個 ,25462,one ,yīgè  
yahei 25436,yahei ,25436,Yahei,yahei  
完全 25423,完全 ,25423,completely ,wánquán  
该死 25331,该死 ,25331,Damn,gāisǐ  
there 25303,there ,25303,there ,there  
美国 25172,美国 ,25172,America ,měiguó  
怎样 25165,怎样 ,25165,How,zěnyàng  
回去 25126,回去 ,25126,go back ,huíqu  
以 24974,以 ,24974,by ,yǐ  
却 24940,却 ,24940,but ,què  
其他 24825,其他 ,24825,other ,qítā  
永远 24688,永远 ,24688,forever ,yǒngyuǎn  
家伙 24679,家伙 ,24679,Guy,jiāhuo  
之后 24566,之后 ,24566,Later ,zhīhòu  
怎麼 24413,怎麼 ,24413,how ,zěnme  
看见 24365,看见 ,24365,See,kànjiàn  
或者 24021,或者 ,24021,or ,huòzhě  
b 24015,b ,24015,b ,b  
小心 23400,小心 ,23400,careful ,xiǎoxīn  
fnsimhei 23351,fnsimhei ,23351,fnsimhei,fnsimhei  
行 23301,行 ,23301,Row ,xíng  
别人 23278,别人 ,23278,Other people,biéren  
成为 23248,成为 ,23248,Become,chéngwéi  
写 23064,写 ,23064,Write ,xiě  
不到 22964,不到 ,22964,Not,bùdào  
here 22934,here ,22934,here ,here  
情况 22913,情况 ,22913,Condition ,qíngkuàng  
get 22845,get ,22845,get ,get  
送 22802,送 ,22802,deliver ,sòng  
伙计 22702,伙计 ,22702,Buddy,huǒji  
一天 22615,一天 ,22615,one day ,yītiān  
玩 22502,玩 ,22502,Play ,wán  
见到 22417,见到 ,22417,See,jiàndào  
放 22359,放 ,22359,put ,fàng  
晚上 22343,晚上 ,22343,night ,wǎnshàng  
喝 22343,喝 ,22343,drink ,hē  
总是 22325,总是 ,22325,always ,zǒngshì  
好好 22178,好好 ,22178,well ,hǎohǎo  
琌 22168,琌 ,22168,Bamboo,琌  
号 22150,号 ,22150,No ,hào  
如此 22150,如此 ,22150,in this way ,rúcǐ  
家 22081,家 ,22081,Family ,jiā  
坐 22044,坐 ,22044,sit ,zuò  
了解 21944,了解 ,21944,learn ,liǎojiě  
like 21931,like ,21931,like ,like  
有没有 21883,有没有 ,21883,Do you have ,yǒuméiyǒu  
兄弟 21871,兄弟 ,21871,brother ,xiōngdì  
没什么 21850,没什么 ,21850,nothing ,méishénme  
我来 21764,我来 ,21764,I come ,wǒlái  
结束 21743,结束 ,21743,Finish ,jiéshù  
机会 21719,机会 ,21719,Chance ,jīhuì  
已 21707,已 ,21707,already ,yǐ  
安全 21662,安全 ,21662,Safety ,ānquán  
拜托 21530,拜托 ,21530,Pleased,bàituō  
决定 21480,决定 ,21480,Decide ,juédìng  
穿 21460,穿 ,21460,Put on ,chuān  
确定 21435,确定 ,21435,Sure ,quèdìng  
里面 21222,里面 ,21222,in ,lǐmiàn  
呃 21202,呃 ,21202,Uh ,è  
怎么办 21189,怎么办 ,21189,How to do ,zěnmebàn  
还好 21062,还好 ,21062,fine ,háihǎo  
无法 21037,无法 ,21037,Unable,wúfǎ  
小时 21036,小时 ,21036,Hour ,xiǎoshí  
站 21015,站 ,21015,stand ,zhàn  
清楚 21001,清楚 ,21001,clear ,qīngchu  
