Unnamed: 0,Unnamed: 0.1,Source,Chinese Char,Frequency,English Translation,Pinyin
0,0,的 3957141,的 ,3957141,of ,de  
1,1,我 3669472,我 ,3669472,I ,wǒ  
2,2,你 3282942,你 ,3282942,you ,nǐ  
4,4,是 1670639,是 ,1670639,Yes ,shì  
5,5,在 1023023,在 ,1023023,exist ,zài  
6,6,他 904210,他 ,904210,he ,tā  
7,7,我们 827393,我们 ,827393,US ,wǒmen  
8,8,不 725410,不 ,725410,Do not ,bù  
9,9,吗 652753,吗 ,652753, ,mǎ  
10,10,好 558010,好 ,558010,good ,hào  
11,11,什么 534934,什么 ,534934,what ,shénme  
12,12,有 511680,有 ,511680,Have ,yǒu  
13,13,就 504482,就 ,504482,At once ,jiù  
14,14,吧 502836,吧 ,502836,Bar ,ba  
15,15,她 488294,她 ,488294,she ,tā  
16,16,知道 437631,知道 ,437631,knowledge ,zhīdào  
17,17,说 413852,说 ,413852,Say ,shuō  
18,18,都 413654,都 ,413654,All ,dōu  
19,19,去 370927,去 ,370927,go ,qù  
20,20,很 365403,很 ,365403,very ,hěn  
21,21,啊 358257,啊 ,358257,what ,a  
22,22,要 352653,要 ,352653,want ,yào  
23,23,也 336670,也 ,336670,and also ,yě  
24,24,他们 330294,他们 ,330294,them ,tāmen  
25,25,和 323973,和 ,323973,with ,hé  
26,26,那 323364,那 ,323364,That ,nà  
27,27,想 317123,想 ,317123,think ,xiǎng  
29,29,会 312399,会 ,312399,Can ,huì  
30,30,一个 286202,一个 ,286202,one ,yīgè  
31,31,来 279006,来 ,279006,Come ,lái  
32,32,把 259336,把 ,259336,Bundle ,bǎ  
33,33,对 257560,对 ,257560,right ,duì  
34,34,没有 257229,没有 ,257229,No ,méiyǒu  
35,35,做 256927,做 ,256927,Do ,zuò  
36,36,不是 253201,不是 ,253201,no ,bùshì  
37,37,让 235971,让 ,235971,let ,ràng  
38,38,给 232587,给 ,232587,Give ,gěi  
39,39,you 222568,you ,222568,you ,you  
40,40,可以 213363,可以 ,213363,Can ,kěyǐ  
41,41,i 209342,i ,209342,i ,i  
42,42,你们 207368,你们 ,207368,you ,nǐmen  
43,43,呢 203137,呢 ,203137,Woolen cloth ,ní  
44,44,但 200270,但 ,200270,but ,dàn  
45,45,l 195889,l ,195889,the,l  
46,46,到 195057,到 ,195057,arrive ,dào  
47,47,还 192818,还 ,192818,return ,hái  
48,48,现在 191204,现在 ,191204,now ,xiànzài  
49,49,the 185415,the ,185415,the ,the  
50,50,这个 184608,这个 ,184608,this ,zhège  
51,51,能 183817,能 ,183817,can ,néng  
52,52,怎么 174335,怎么 ,174335,how ,zěnme  
53,53,就是 174001,就是 ,174001,that is ,jiùshì  
54,54,跟 172998,跟 ,172998,and ,gēn  
55,55,如果 171340,如果 ,171340,if ,rúguǒ  
56,56,没 171205,没 ,171205,No ,méi  
57,57,它 170019,它 ,170019,it ,tā  
58,58,走 169161,走 ,169161,go ,zǒu  
59,59,上 163659,上 ,163659,superior ,shàng  
60,60,得 157393,得 ,157393,have to ,de  
61,61,被 156912,被 ,156912,quilt ,bèi  
62,62,这里 155860,这里 ,155860,here ,zhèlǐ  
63,63,这样 154329,这样 ,154329,so ,zhèyàng  
64,64,个 148111,个 ,148111,indivual ,ge  
65,65,看 142855,看 ,142855,Look ,kàn  
66,66,事 136748,事 ,136748,case ,shì  
67,67,to 136030,to ,136030,to ,to  
68,68,自己 134251,自己 ,134251,Own ,zìjǐ  
69,69,着 133440,着 ,133440,NS ,zhe  
70,70,谁 127180,谁 ,127180,Who ,shuí  
71,71,过 126905,过 ,126905,pass ,guò  
72,72,不会 126661,不会 ,126661,will not ,bùhuì  
73,73,a 123511,a ,123511,a ,a  
74,74,告诉 121954,告诉 ,121954,Tell ,gàosu  
75,75,s 120272,s ,120272,s ,s  
76,76,为什么 119165,为什么 ,119165,why ,wèishénme  
77,77,不能 118579,不能 ,118579,can not ,bùnéng  
78,78,真的 117819,真的 ,117819,real ,zhēnde  
79,79,m 117308,m ,117308,m ,m  
80,80,先生 115604,先生 ,115604,gentlemen ,xiānsheng  
81,81,只是 115329,只是 ,115329,only ,zhǐshì  
